butterfly,path,hitbox_image,frame,hitbox_x,hitbox_y,hitbox_w,hitbox_h,hitbox_r,hitbox_area,body_area,forewing_area,hindwing_area,tail_area
Gonepteryx_cleobule__Male,06,0170.png,170,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0171.png,171,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0172.png,172,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0173.png,173,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0174.png,174,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0175.png,175,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0176.png,176,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0177.png,177,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0178.png,178,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0179.png,179,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0180.png,180,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0181.png,181,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0182.png,182,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0183.png,183,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0184.png,184,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0185.png,185,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0186.png,186,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0187.png,187,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0188.png,188,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0189.png,189,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0190.png,190,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0191.png,191,0,0,0,0,0,0,0,0,0,0
