genus,species,genusSpecies,sex,Body_Length,Wing_Area,Wing_WBF
Glaucopsyche,melanops,Glaucopsyche_melanops,Female,18.1487,300.2277,14.9745
Glaucopsyche,melanops,Glaucopsyche_melanops,Male,20.7777,341.8490,14.6542
Gonepteryx,cleobule,Gonepteryx_cleobule,Female,44.3540,2008.8252,10.9116
Gonepteryx,cleobule,Gonepteryx_cleobule,Male,41.9794,1784.2307,11.1291
Gonepteryx,cleopatra,Gonepteryx_cleopatra,Female,40.1136,1537.3188,11.4086
Gonepteryx,cleopatra,Gonepteryx_cleopatra,Male,40.0288,1602.3975,11.3301
Gonepteryx,farinosa,Gonepteryx_farinosa,Female,47.7463,1901.7873,11.0115
Gonepteryx,farinosa,Gonepteryx_farinosa,Male,44.5660,1572.3808,11.3659
Gonepteryx,maderensis,Gonepteryx_maderensis,Female,39.2656,1637.0531,11.2898
Gonepteryx,maderensis,Gonepteryx_maderensis,Male,41.0465,1576.2970,11.3612
Gonepteryx,rhamni,Gonepteryx_rhamni,Female,36.2549,1340.6912,11.6716
Gonepteryx,rhamni,Gonepteryx_rhamni,Male,41.0465,1428.8604,11.5485
Hamearis,lucina,Hamearis_lucina,Female,21.5409,325.8895,14.7713
Hamearis,lucina,Hamearis_lucina,Male,22.8979,358.2472,14.5403
