genus,species,genusSpecies,sex,treatment,render_method,flight_method,left_mean,left_dev,right_mean,right_dev,up_mean,up_dev,down_mean,down_dev
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,Patterned_Gliding,Patterned,Gliding,0.2429,0.0009,0.2428,0.0009,0.3242,0.001,4.64E-05,0.0001
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,Patterned_Flapping,Patterned,Flapping,0.0942,0.0324,0.0942,0.0324,0.1203,0.0618,0.036,0.018
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,Averaged_Gliding,Averaged,Gliding,0.0218,2.04E-05,0.0219,2.05E-05,0.0592,4.87E-05,1.16E-06,1.61E-06
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,Averaged_Flapping,Averaged,Flapping,0.0178,0.0041,0.0179,0.0041,0.0252,0.0107,0.0053,0.0039
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,White_Gliding,White,Gliding,0.972,0.0009,0.9736,0.0009,2.6351,0.0022,5.18E-05,7.16E-05
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,White_Flapping,White,Flapping,0.7422,0.1845,0.7437,0.1846,1.077,0.4915,0.2141,0.1456
Agriades,zullichi,Agriades_zullichi,Female,Patterned_Gliding,Patterned,Gliding,0.1116,0.0006,0.1116,0.0006,0.1189,0.0005,2.88E-05,7.92E-05
Agriades,zullichi,Agriades_zullichi,Female,Patterned_Flapping,Patterned,Flapping,0.0407,0.0181,0.0408,0.0182,0.0417,0.0243,0.015,0.0073
Agriades,zullichi,Agriades_zullichi,Female,Averaged_Gliding,Averaged,Gliding,0.0032,3.18E-06,0.0032,3.18E-06,0.0091,7.06E-06,1.77E-07,2.34E-07
Agriades,zullichi,Agriades_zullichi,Female,Averaged_Flapping,Averaged,Flapping,0.0032,0.0008,0.0032,0.0008,0.0044,0.0016,0.0009,0.0006
Agriades,zullichi,Agriades_zullichi,Female,White_Gliding,White,Gliding,0.9629,0.001,0.9643,0.001,2.7499,0.0021,5.36E-05,7.06E-05
Agriades,zullichi,Agriades_zullichi,Female,White_Flapping,White,Flapping,0.7428,0.1944,0.7442,0.1948,1.1159,0.5187,0.2308,0.1541
Agriades,zullichi,Agriades_zullichi,Male,Patterned_Gliding,Patterned,Gliding,0.1027,0.0004,0.1031,0.0004,0.0925,0.0003,2.21E-05,5.69E-05
Agriades,zullichi,Agriades_zullichi,Male,Patterned_Flapping,Patterned,Flapping,0.0358,0.0128,0.0359,0.0128,0.0384,0.0187,0.011,0.0044
Agriades,zullichi,Agriades_zullichi,Male,Averaged_Gliding,Averaged,Gliding,0.0032,2.77E-06,0.0032,2.78E-06,0.0085,6.67E-06,1.75E-07,2.58E-07
Agriades,zullichi,Agriades_zullichi,Male,Averaged_Flapping,Averaged,Flapping,0.002,0.0006,0.002,0.0006,0.0029,0.0018,0.0007,0.0005
Agriades,zullichi,Agriades_zullichi,Male,White_Gliding,White,Gliding,0.9667,0.0008,0.9681,0.0008,2.5747,0.002,5.27E-05,7.79E-05
Agriades,zullichi,Agriades_zullichi,Male,White_Flapping,White,Flapping,0.7565,0.2007,0.7579,0.201,1.0564,0.4932,0.2266,0.1477
Albulina,orbitulus,Albulina_orbitulus,Female,Patterned_Gliding,Patterned,Gliding,0.1729,0.0005,0.173,0.0005,0.3026,0.0006,3.37E-05,0.0001
Albulina,orbitulus,Albulina_orbitulus,Female,Patterned_Flapping,Patterned,Flapping,0.0909,0.0256,0.091,0.0256,0.1233,0.059,0.0304,0.0164
Albulina,orbitulus,Albulina_orbitulus,Female,Averaged_Gliding,Averaged,Gliding,0.0463,4.02E-05,0.0464,4.02E-05,0.13,7.93E-05,2.20E-06,3.50E-06
Albulina,orbitulus,Albulina_orbitulus,Female,Averaged_Flapping,Averaged,Flapping,0.0382,0.009,0.0383,0.009,0.055,0.0239,0.0115,0.0078
Albulina,orbitulus,Albulina_orbitulus,Female,White_Gliding,White,Gliding,0.9515,0.0008,0.9518,0.0008,2.669,0.0016,4.52E-05,7.19E-05
Albulina,orbitulus,Albulina_orbitulus,Female,White_Flapping,White,Flapping,0.7679,0.1936,0.7695,0.1936,1.1162,0.5039,0.2291,0.1487
Albulina,orbitulus,Albulina_orbitulus,Male,Patterned_Gliding,Patterned,Gliding,0.0856,0.0003,0.0852,0.0003,0.1227,0.0003,2.41E-05,8.55E-05
Albulina,orbitulus,Albulina_orbitulus,Male,Patterned_Flapping,Patterned,Flapping,0.0413,0.0157,0.0412,0.0157,0.0495,0.027,0.0142,0.0069
Albulina,orbitulus,Albulina_orbitulus,Male,Averaged_Gliding,Averaged,Gliding,0.0139,1.18E-05,0.0139,1.17E-05,0.037,2.57E-05,6.98E-07,1.02E-06
Albulina,orbitulus,Albulina_orbitulus,Male,Averaged_Flapping,Averaged,Flapping,0.0116,0.0028,0.0116,0.0028,0.0157,0.007,0.0034,0.0022
Albulina,orbitulus,Albulina_orbitulus,Male,White_Gliding,White,Gliding,0.984,0.0008,0.9839,0.0008,2.6242,0.0018,4.95E-05,7.22E-05
Albulina,orbitulus,Albulina_orbitulus,Male,White_Flapping,White,Flapping,0.778,0.2081,0.7792,0.2078,1.0727,0.5043,0.2281,0.1476
Anthocharis,cardamines,Anthocharis_cardamines,Female,Patterned_Gliding,Patterned,Gliding,0.6156,0.0007,0.6171,0.0007,1.2331,0.0013,5.85E-05,0.0001
Anthocharis,cardamines,Anthocharis_cardamines,Female,Patterned_Flapping,Patterned,Flapping,0.419,0.142,0.4201,0.1421,0.485,0.2473,0.1368,0.0829
Anthocharis,cardamines,Anthocharis_cardamines,Female,Averaged_Gliding,Averaged,Gliding,0.3247,0.0003,0.325,0.0003,0.9619,0.0008,2.16E-05,2.43E-05
Anthocharis,cardamines,Anthocharis_cardamines,Female,Averaged_Flapping,Averaged,Flapping,0.2221,0.0776,0.2224,0.0777,0.3558,0.1888,0.075,0.0501
Anthocharis,cardamines,Anthocharis_cardamines,Female,White_Gliding,White,Gliding,0.9741,0.0008,0.9752,0.0008,2.8862,0.0025,6.48E-05,7.30E-05
Anthocharis,cardamines,Anthocharis_cardamines,Female,White_Flapping,White,Flapping,0.7731,0.1845,0.7746,0.1845,1.1782,0.5365,0.2425,0.1606
Anthocharis,cardamines,Anthocharis_cardamines,Male,Patterned_Gliding,Patterned,Gliding,0.4642,0.0005,0.4649,0.0005,0.8766,0.0008,3.50E-05,8.61E-05
Anthocharis,cardamines,Anthocharis_cardamines,Male,Patterned_Flapping,Patterned,Flapping,0.3317,0.112,0.3322,0.1121,0.3305,0.1717,0.0723,0.0468
Anthocharis,cardamines,Anthocharis_cardamines,Male,Averaged_Gliding,Averaged,Gliding,0.1883,0.0001,0.1886,0.0001,0.4616,0.0004,1.13E-05,1.27E-05
Anthocharis,cardamines,Anthocharis_cardamines,Male,Averaged_Flapping,Averaged,Flapping,0.1294,0.0449,0.1296,0.045,0.1747,0.0941,0.0392,0.0265
