"Population","Generation","ID","Wing","L_mean","L_stdev","L_x","L_y","P_mean","P_stdev","P_x","P_y","E_mean","E_stdev","E_x","E_y","VH_mean","VH_stdev","VH_x","VH_y","OA_mean","OA_stdev","OA_x","OA_y","DR_mean","DR_stdev","DR_x","DR_y"
"Papilio_machaon_BF_1",20,"Gen16_Mut0_ID13","forewing",52.4201,29.3993,-0.0832,-8.863e-15,0.2804,0.0419,-2e-04,-3.162e-17,0.3864,0.1432,0.002,-2.108e-17,0.1858,0.1255,0.0015,-1.581e-18,0.0338,0.077,3e-04,7.575e-19,0.053,0.0798,7e-04,5.27e-18
"Papilio_machaon_BF_1",20,"Gen16_Mut0_ID13","hindwing",52.3672,13.6483,0.0749,-3.364e-15,0.2629,0.0604,-6e-04,5.171e-18,0.2923,0.1169,0.0024,-2.586e-18,0.0458,0.0738,-2e-04,-6.464e-18,0.0698,0.0583,4e-04,5.925e-19,-0.0035,0.0471,-5e-04,-1.939e-18
"Papilio_machaon_BF_1",20,"Gen19_Mut0_ID8","forewing",52.6323,27.1405,-0.0752,6.777e-15,0.2844,0.0449,-3e-04,8.432e-18,0.3636,0.1427,0.0021,4.005e-17,0.1613,0.1166,0.0014,-1.976e-18,0.0257,0.0788,4e-04,-2.635e-18,0.0406,0.0739,5e-04,5.27e-18
"Papilio_machaon_BF_1",20,"Gen19_Mut0_ID8","hindwing",49.975,12.578,0.0195,-1.051e-14,0.2678,0.0534,-3e-04,-2.413e-17,0.2377,0.0898,0.0018,7.757e-18,0.0283,0.049,-3e-04,9.05e-18,0.0295,0.0499,-3e-04,1.724e-18,-0.0238,0.047,-8e-04,1.131e-18
"Papilio_machaon_BF_1",20,"Gen18_Mut0_ID1","forewing",52.6042,28.2044,-0.0784,-6.777e-15,0.2816,0.0445,-3e-04,3.162e-17,0.3762,0.1471,0.0022,-2.74e-17,0.1775,0.1239,0.0015,7.905e-19,0.0299,0.0791,4e-04,7.905e-19,0.0503,0.0777,6e-04,-4.743e-18
"Papilio_machaon_BF_1",20,"Gen18_Mut0_ID1","hindwing",51.4737,12.2515,0.0576,-7.148e-15,0.2675,0.057,-5e-04,-3.275e-17,0.2304,0.0828,0.0017,-1.896e-17,0.0785,0.058,5e-04,-3.232e-18,0.0522,0.0407,3e-04,1.724e-18,0.0146,0.0348,-2e-04,9.966e-19
"Papilio_machaon_BF_1",20,"Gen19_Mut0_ID11","forewing",50.0998,29.2861,-0.0949,6.777e-15,0.2825,0.0453,-3e-04,-6.324e-18,0.3848,0.148,0.0021,-2.53e-17,0.1854,0.1272,0.0016,3.425e-18,0.0281,0.078,4e-04,-4.282e-19,0.0526,0.0802,7e-04,7.378e-18
"Papilio_machaon_BF_1",20,"Gen19_Mut0_ID11","hindwing",48.7388,10.0749,0.0375,-1.051e-14,0.2745,0.0668,-7e-04,-5.171e-18,0.2097,0.0749,0.0016,-1.379e-17,0.037,0.051,3.389e-05,3.017e-18,0.0425,0.0438,-1.763e-05,-3.124e-18,-0.0052,0.0318,-5e-04,-1.185e-18
"Papilio_machaon_BF_1",20,"Gen19_Mut0_ID15","forewing",48.0002,22.6962,-0.0877,-6.777e-15,0.2874,0.049,-4e-04,2.319e-17,0.309,0.114,0.0015,-1.476e-17,0.1298,0.0929,9e-04,1.449e-18,0.0203,0.0614,4e-04,0,0.025,0.0587,3e-04,6.06e-18
"Papilio_machaon_BF_1",20,"Gen19_Mut0_ID15","hindwing",49.4979,11.488,0.0348,-7.148e-15,0.2914,0.0627,-5e-04,-4.482e-17,0.1955,0.0865,0.0025,-6.895e-18,0.0416,0.0551,7e-04,1.077e-17,0.0269,0.04,6e-04,-1.185e-18,-0.0073,0.0324,-1e-04,0
"Papilio_machaon_BF_1",20,"Gen18_Mut0_ID5","forewing",49.7016,29.3699,-0.1151,4.692e-15,0.2764,0.0389,-1.728e-06,-3.162e-17,0.398,0.1237,0.0014,2.108e-17,0.1777,0.117,0.0014,6.587e-19,0.0386,0.0754,4e-04,-1.054e-18,0.0414,0.0788,7e-04,5.797e-18
"Papilio_machaon_BF_1",20,"Gen18_Mut0_ID5","hindwing",42.9768,7.8247,-0.0066,-7.569e-15,0.2698,0.0563,-4e-04,-8.619e-18,0.1712,0.0685,0.002,1.638e-17,0.006,0.041,-2e-04,-4.309e-18,0.0174,0.0358,3e-04,-1.724e-18,-0.0228,0.0301,-4e-04,2.37e-18
"Papilio_machaon_BF_1",20,"Gen19_Mut0_ID4","forewing",51.9595,29.234,-0.0844,4.171e-15,0.2798,0.0432,-3e-04,-2.319e-17,0.3899,0.15,0.0022,2.74e-17,0.1881,0.1283,0.0016,-5.27e-19,0.0293,0.0805,4e-04,-9.222e-19,0.0547,0.0808,7e-04,-4.216e-18
"Papilio_machaon_BF_1",20,"Gen19_Mut0_ID4","hindwing",51.202,12.5229,0.0598,1.051e-14,0.2686,0.0588,-5e-04,4.137e-17,0.2575,0.097,0.002,1.379e-17,0.0458,0.0698,-2e-04,-6.895e-18,0.0609,0.0499,2e-04,1.724e-18,4.842e-05,0.0407,-5e-04,-6.464e-19
"Papilio_machaon_BF_1",20,"Gen20_Mut0_ID0","forewing",50.8622,27.9003,-0.0869,-3.649e-15,0.2828,0.0458,-3e-04,8.432e-18,0.3715,0.1419,0.002,1.476e-17,0.1778,0.1222,0.0015,-2.503e-18,0.0298,0.0773,4e-04,-1.054e-18,0.0513,0.0778,7e-04,-1.054e-17
"Papilio_machaon_BF_1",20,"Gen20_Mut0_ID0","hindwing",49.9002,12.5943,0.0577,-1.051e-14,0.2694,0.0599,-6e-04,0,0.2582,0.0941,0.0019,-1.207e-17,0.0453,0.0685,-1e-04,7.326e-18,0.0629,0.0491,2e-04,-4.525e-18,-4e-04,0.0404,-6e-04,-2.963e-19
"Papilio_machaon_BF_1",20,"Gen20_Mut0_ID1","forewing",53.6812,30.3995,-0.081,-1.303e-14,0.2782,0.0409,-2e-04,3.162e-17,0.4021,0.1495,0.0021,-2.53e-17,0.1958,0.1306,0.0016,1.317e-18,0.0346,0.0814,3e-04,5.929e-19,0.0578,0.083,7e-04,-5.797e-18
"Papilio_machaon_BF_1",20,"Gen20_Mut0_ID1","hindwing",54.7411,14.2047,0.0845,-4.205e-15,0.2612,0.0583,-5e-04,-4.137e-17,0.299,0.1191,0.0023,2.93e-17,0.0629,0.0763,-2e-04,1.724e-18,0.0695,0.0564,4e-04,8.619e-19,0.0016,0.0468,-5e-04,-3.663e-18
"Papilio_machaon_BF_1",20,"Gen20_Mut0_ID2","forewing",54.5053,27.3806,-0.0633,9.384e-15,0.286,0.0451,-2e-04,-2.108e-17,0.3685,0.121,0.0016,-1.686e-17,0.144,0.1087,0.0011,-2.964e-19,0.0333,0.0741,2e-04,1.186e-18,0.0248,0.0678,4e-04,-6.851e-18
"Papilio_machaon_BF_1",20,"Gen20_Mut0_ID2","hindwing",54.0391,11.8749,0.0157,-4.205e-15,0.2939,0.0634,-7e-04,4.137e-17,0.2058,0.0644,0.0018,6.895e-18,0.0113,0.0414,-2e-04,-6.033e-18,0.0272,0.0405,2e-04,-2.478e-18,-0.0237,0.0319,-5e-04,-1.077e-19
"Papilio_machaon_BF_1",20,"Gen20_Mut0_ID3","forewing",46.8608,23.9113,-0.1137,-2.085e-15,0.2781,0.0505,-4e-04,-2.319e-17,0.3156,0.1608,0.0022,2.319e-17,0.1432,0.1203,0.0015,-1.054e-18,0.0418,0.0611,4e-04,7.246e-19,0.0362,0.0681,6e-04,2.108e-18
"Papilio_machaon_BF_1",20,"Gen20_Mut0_ID3","hindwing",53.5656,17.376,0.0475,7.148e-15,0.2897,0.057,-3e-04,3.103e-17,0.2892,0.1273,0.0024,1.724e-17,-0.0131,0.0761,4e-04,8.619e-18,0.0548,0.0769,8e-04,-1.724e-18,-0.0121,0.0392,-3e-04,-2.37e-18
"Papilio_machaon_BF_1",20,"Gen20_Mut0_ID4","forewing",48.1241,22.5154,-0.0744,8.341e-15,0.2792,0.0418,-2e-04,-2.108e-17,0.3271,0.1182,0.0016,1.686e-17,0.1039,0.1062,0.001,1.317e-19,-0.0123,0.1179,2.017e-05,2.898e-18,0.0241,0.0758,4e-04,-3.689e-18
