ID,SubFrame,Heading_X1,Heading_Y1,Heading_X2,Heading_Y2
T16_Pm_v2,10,117,161,117,181
T16_Pm_v2,11,114,132,111,157
T16_Pm_v2,12,116,107,116,122
T16_Pm_v2,13,121,71,125,92
T16_Pm_v2,14,122,41,122,59
T16_Pm_v2,15,116,18,118,35
T17_Va_11Aug1,0,206,808,208,839
T17_Va_11Aug1,1,188,797,207,832
T17_Va_11Aug1,2,197,792,206,822
T17_Va_11Aug1,3,201,793,209,811
T17_Va_11Aug1,4,202,733,206,755
T17_Va_11Aug1,5,196,694,204,717
T17_Va_11Aug1,6,0,0,201,672
T17_Va_11Aug1,7,207,602,201,618
T17_Va_11Aug1,8,200,548,200,572
T17_Va_11Aug1,9,198,494,198,523
T17_Va_11Aug1,10,206,429,199,461
T17_Va_11Aug1,11,210,360,204,396
T17_Va_11Aug1,12,208,294,202,323
T17_Va_11Aug1,13,202,234,202,260
T17_Va_11Aug1,14,212,150,209,176
T17_Va_11Aug1,15,221,80,210,100
T18_Va_11Aug2,0,202,960,204,991
T18_Va_11Aug2,1,213,933,216,975
T18_Va_11Aug2,2,198,929,208,969
T18_Va_11Aug2,3,200,877,198,905
T18_Va_11Aug2,4,201,839,204,867
T18_Va_11Aug2,5,198,773,196,805
T18_Va_11Aug2,6,204,708,208,735
T18_Va_11Aug2,7,210,633,206,679
T18_Va_11Aug2,8,213,580,206,605
T18_Va_11Aug2,9,213,509,212,535
T18_Va_11Aug2,10,206,435,212,477
T18_Va_11Aug2,11,212,359,208,397
T18_Va_11Aug2,12,208,283,204,319
T18_Va_11Aug2,13,192,223,196,253
T18_Va_11Aug2,14,192,135,194,173
T18_Va_11Aug2,15,198,45,196,73
T19_Va_10Sep,0,260,1128,238,1136
T19_Va_10Sep,1,274,1134,254,1122
T19_Va_10Sep,2,258,1068,246,1092
T19_Va_10Sep,3,284,1040,254,1086
T19_Va_10Sep,4,286,992,260,1036
T19_Va_10Sep,5,300,964,266,1010
T19_Va_10Sep,6,286,886,280,912
T19_Va_10Sep,7,254,852,272,892
T19_Va_10Sep,8,286,764,278,820
